Date Added,Company,Role,URL,Location,Date Posted,Department
2026-06-23,Spotify,"Project Manager, Editorial Product Integration & Partnerships",https://jobs.lever.co/spotify/22fedc8b-caf2-416a-9e2d-37f9a04f9973,"New York, NY",—,Music Business
2026-06-24,Spotify,"Associate Manager, Audiobook Licensing",https://jobs.lever.co/spotify/8d249b95-ad65-4ef8-bdbd-01607bd9b4ea,"New York, NY",—,Audio Books & Gated Content
2026-06-24,Spotify,Label Partnerships Manager,https://jobs.lever.co/spotify/be100936-8280-42ba-a7d0-db59c57017a2,"Los Angeles, CA",—,Music Business
2026-06-24,Spotify,"Manager, Indie Label Partnerships",https://jobs.lever.co/spotify/eb03acee-7b11-4b09-a5c9-6f938d83c3cd,"Los Angeles, CA",—,Music Business
2026-06-24,NBCUniversal,"Manager, Category Management FBC (Licensing)",https://careers.smartrecruiters.com/NBCUniversal3/744000133680255,"Universal City, CALIFORNIA, us",2026-06-23,—
2026-06-24,Versant,"Manager, Content Merchandising and Audience Engagement",https://careers.smartrecruiters.com/Versant3/744000133971060,"Universal City, CALIFORNIA, us",2026-06-24,—
2026-06-24,Paramount,"Director, Research- Global Content Distribution",https://careers.paramount.com/job/Los-Angeles-Director%2C-Research-Global-Content-Distribution-CA-90038/1402463200/,"Research- Global Content Distribution Job Function Research Location Los Angeles, CA, US","Jun 23, 2026",—
2026-06-25,Versant,"Director, Digital Partnerships",https://careers.smartrecruiters.com/Versant3/744000134019929,"Atlanta, GEORGIA, us",2026-06-24,—
2026-06-25,Apple,"Business Partnerships Manager, Apple Music",https://jobs.apple.com/en-us/details/200669935-3631/business-partnerships-manager-apple-music?team=SLDEV,—,—,—
2026-06-26,NBCUniversal,"Manager, Category Management (Fashion & Living - Licensing)",https://careers.smartrecruiters.com/NBCUniversal3/744000134336144,"Universal City, CALIFORNIA, us",2026-06-25,—
2026-06-29,NBCUniversal,"Manager, Content Consumer Insights",https://careers.smartrecruiters.com/NBCUniversal3/744000134810559,"Universal City, CA, us",2026-06-29,—
2026-06-29,NBCUniversal,"Manager, Content Consumer Insights",https://careers.smartrecruiters.com/NBCUniversal3/744000134810300,"New York, NEW YORK, us",2026-06-29,—
2026-07-02,Versant,"Director, Partnership Product Sales - (New York, NY)",https://careers.smartrecruiters.com/Versant3/744000135303570,"New York, NEW YORK, us",2026-07-01,—
2026-07-02,Paramount,"Director, Global Creative Content, Film",https://careers.paramount.com/job/Los-Angeles-Director%2C-Global-Creative-Content%2C-Film-CA-90038/1396585300/,"Film Job Function Production Location Los Angeles, CA, US","Jul 2, 2026",—
2026-07-02,Apple,Developer Intelligence Partnerships Engineering Manager,https://jobs.apple.com/en-us/details/200670697-0836/developer-intelligence-partnerships-engineering-manager?team=SFTWR,—,—,—
2026-07-03,Versant,"VP, Rotten Tomatoes (Content & Platform)",https://careers.smartrecruiters.com/Versant3/744000135578357,"Universal City, CALIFORNIA, us",2026-07-02,—
2026-07-03,Versant,"Manager, DTC Partnerships, CNBC",https://careers.smartrecruiters.com/Versant3/744000135580242,"Englewood Cliffs, NEW JERSEY, us",2026-07-02,—
2026-07-03,Versant,"Senior Manager, Strategic Partnerships, CNBC",https://careers.smartrecruiters.com/Versant3/744000135576647,"Englewood Cliffs, NEW JERSEY, us",2026-07-02,—
2026-07-03,Versant,Studio & Affiliate Partnerships Manager (Fandango/Rotten Tomatoes),https://careers.smartrecruiters.com/Versant3/744000135575703,"Universal City, CALIFORNIA, us",2026-07-02,—
